20,4
14,11
40,0
13,35
2,25
35,26
24,8
35,31
24,12
7,2
35,13
26,12
19,15
1,3
15,11
8,12
22,34
17,24
2,5
24,7
9,26
7,4
9,30
0,18
34,15
37,31
34,14
28,21
2,30
3,7
37,9
0,17
23,15
29,19
2,26
38,34
7,10
4,23
20,30
35,14
11,22
10,2
38,29
31,32
12,8
13,30
24,12
26,15
24,15
24,29
16,25
0,12
8,18
1,14
10,31
12,0
39,35
21,19
14,0
14,34
34,31
4,26
12,27
10,15
21,30
12,21
21,32
10,33
18,23
12,33
2,28
37,2
33,21
31,34
31,7
15,26
6,24
25,17
32,13
0,35
17,12
30,13
21,34
30,20
33,15
17,0
27,12
19,33
33,31
12,33
21,27
31,20
9,2
1,27
15,17
28,33
36,22
16,4
20,25
4,7
37,74
44,61
55,70
37,69
41,54
52,56
40,70
54,80
30,55
35,72
56,69
37,73
60,69
42,72
44,56
46,69
56,50
32,55
44,68
39,58
30,70
32,68
55,76
59,70
42,51
47,58
49,67
50,71
60,68
36,59
31,79
44,54
35,60
35,69
34,79
40,64
55,61
43,51
46,73
56,66
46,74
35,56
40,64
34,57
33,72
55,55
43,60
30,63
41,50
30,72
37,79
53,61
42,64
33,74
56,50
49,71
57,64
48,76
46,72
55,61
55,55
38,52
43,70
38,74
37,50
56,56
39,56
34,77
31,61
39,72
31,52
47,76
44,60
54,51
45,59
40,61
30,68
36,54
46,50
48,76
50,51
37,80
33,62
39,63
59,72
55,61
38,50
54,66
30,55
45,64
58,64
58,65
54,71
49,53
40,80
42,78
32,77
33,55
34,61
49,78
70,30
69,42
53,34
60,55
71,26
70,43
72,45
76,53
56,26
58,58
54,24
67,58
80,22
72,16
59,15
60,55
59,47
59,56
51,32
77,56
79,39
67,35
72,55
78,39
56,15
71,58
55,57
75,31
66,57
71,33
63,36
70,34
52,23
66,56
75,40
79,35
76,33
66,30
58,40
57,48
74,49
75,39
76,52
66,52
62,51
58,19
78,30
62,33
64,15
63,50
80,23
62,36
72,17
59,45
70,60
80,54
65,37
62,27
73,60
60,37
76,52
70,20
54,48
53,24
66,38
56,49
57,45
75,24
76,56
66,49
79,27
60,60
57,26
78,49
62,17
69,53
61,49
70,54
61,36
66,28
63,53
78,59
69,39
64,29
55,57
78,29
74,52
79,53
71,15
77,26
53,25
63,41
59,22
55,44
67,27
69,40
60,15
75,29
53,26
68,15
94,82
99,85
86,99
95,75
91,73
94,76
73,97
85,73
94,71
94,92
84,97
83,90
80,94
98,89
98,74
76,79
76,84
91,79
92,76
77,72
86,71
86,71
88,87
77,78
83,94
71,88
99,81
88,85
90,72
95,83
87,72
99,84
88,99
77,77
79,80
82,98
93,82
72,99
97,95
88,91
78,79
72,84
81,83
97,98
78,88
70,77
76,72
89,91
87,92
90,78
80,86
75,86
84,77
78,76
70,81
81,76
81,71
98,80
95,95
72,87
75,88
94,89
72,93
98,88
79,87
95,94
70,81
80,93
75,71
78,80
74,94
77,73
83,98
77,98
96,81
90,94
79,81
96,79
78,93
77,79
85,91
74,71
71,91
90,75
83,79
86,77
77,91
94,96
85,95
98,85
77,85
78,75
77,78
93,77
92,81
88,91
87,72
81,90
77,87
77,85
